st08_sibling_neg	warm	5	2000064	98059501	20	1364	61226572	100	108	123
st08_sibling_neg	cold	3	2000064	98059501	20	1364	62881800	156	156	311
st09_sibling_union	warm	5	2000064	98059501	0	0	118699005	93	97	148
st09_sibling_union	cold	3	2000064	98059501	0	0	98579336	131	146	189
st10_descendant_plain	warm	5	9892654	363770568	21	1539	28894844	932	994	1027
st10_descendant_plain	cold	3	9892654	363770568	21	1539	55251157	1942	1961	1969
st11_descendant_neg	warm	5	10265138	376077558	1	51	28906734	955	965	997
st11_descendant_neg	cold	3	10265138	376077558	1	51	56117005	2011	2020	2027
st12_descendant_union	warm	5	13992032	525897597	21	2451	28896016	1302	1325	1503
st12_descendant_union	cold	3	13992032	525897597	21	2451	94079944	2814	2851	2894
st13_ancestor_plain	warm	5	6558235	229865491	1	51	28909492	523	594	603
st13_ancestor_plain	cold	3	6558235	229865491	1	51	37897532	1132	1150	1164
st14_ancestor_neg	warm	5	6930719	245153119	21	1539	28369988	546	612	634
st14_ancestor_neg	cold	3	6930719	245153119	21	1539	42394700	1188	1267	1341
st15_ancestor_union	warm	5	8804162	317412853	1	51	29656618	849	874	1045
st15_ancestor_union	cold	3	8804162	317412853	1	51	55975876	1662	1689	1839
t01_tag_names_span	warm	5	2000064	741332805	28	556	69519862	325	392	411
t01_tag_names_span	cold	3	2000064	741332805	28	556	74732553	419	486	501
t02_tag_values_route	warm	5	2000064	39904107	58	1445	4249885	41	44	49
t02_tag_values_route	cold	3	2000064	39904107	58	1445	7664007	49	57	58
t03_tag_values_filtered	warm	5	2000132	50005332	4	100	4314016	26	27	31
t03_tag_values_filtered	cold	3	2000132	50005332	4	100	4367304	33	36	37
c20_roots	warm	5	4000128	160008672	20	800	236342055	373	437	542
c20_roots	cold	3	4000128	160008672	20	800	236495463	449	465	476
c21_hydrate_candidates	warm	5	2028737	51378385	924	44352	17404155	31	35	89
c21_hydrate_candidates	cold	3	2028737	51378385	924	44352	12106904	49	49	99
